year,sample,serial,cbserial,hhwt,hhtype,cluster,region,stateicp,statefip,countyicp,density,metro,strata,cntry,gq,rent,rentgrs,valueh,ssmc,pernum,perwt,momloc,poploc,sploc,sprule,momloc2,nchild,nchlt5,sex,age,marst,birthyr,race,raced,hispan,hispand,school,educ,educd,schltype,empstat,empstatd,labforce,classwkr,classwkrd,occ1950,occ1990,occ2010,wkswork1,wkswork2,uhrswork,workedyr,inctot,ftotinc,incwage,racesing,racesingd,qmarst,qrace,sprule_sp,sex_sp,age_sp,marst_sp,birthyr_sp,race_sp,raced_sp,hispan_sp,hispand_sp,school_sp,educ_sp,educd_sp,schltype_sp,empstat_sp,empstatd_sp,labforce_sp,classwkr_sp,classwkrd_sp,occ1950_sp,occ1990_sp,occ2010_sp,wkswork1_sp,wkswork2_sp,workedyr_sp,inctot_sp,ftotinc_sp,incwage_sp,racesing_sp,racesingd_sp,qmarst_sp,qrace_sp,samesex_marriage,edu,edu_sp
2019,2019 acs,3937,2019000107043,40,married-couple family household,2019000039371,east south central div,alabama,alabama,0,200.1,metropolitan status indeterminable (mixed),250001,united states,households under 1970 definition,n/a,n/a,115000,all other same-sex married couple households,1,40,0,0,2,"direct link, clarity level 1",0,1 child present,no children under age 5,female,30,"married, spouse present",1989,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","attendants, physicians and dentists office","health aides, except nursing","medical assistants and other healthcare support occupations, nec",52,50-52 weeks,40,yes,52000,97000,52000,,,entered as written,entered as written,"direct link, clarity level 1",female,32,"married, spouse present",1987,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","barbers, beauticians, and manicurists",hairdressers and cosmetologists,"hairdressers, hairstylists, and cosmetologists",52,50-52 weeks,yes,45000,97000,40200,,,entered as written,entered as written,1,3,3
2019,2019 acs,4296,2019000131568,187,married-couple family household,2019000042961,east south central div,alabama,alabama,0,86.7,not in metropolitan area,230001,united states,households under 1970 definition,n/a,n/a,115000,all other same-sex married couple households,1,187,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,35,"married, spouse present",1984,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",financial managers,financial managers,52,50-52 weeks,40,yes,54000,134000,54000,,,entered as written,entered as written,"direct link, clarity level 1",male,30,"married, spouse present",1989,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",bookkeepers,bookkeepers and accounting and auditing clerks,"bookkeeping, accounting, and auditing clerks",52,50-52 weeks,yes,80000,134000,80000,,,entered as written,entered as written,1,4,2
2019,2019 acs,4365,2019000135820,75,married-couple family household,2019000043651,east south central div,alabama,alabama,0,88.5,not in metropolitan area,100001,united states,households under 1970 definition,850,1350,n/a,all other same-sex married couple households,1,74,0,0,2,"direct link, clarity level 1",0,2,no children under age 5,female,34,"married, spouse present",1985,white,white,not hispanic,not hispanic,"no, not in school",grade 10,grade 10,not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private",cashiers,cashiers,cashiers,1,1-13 weeks,25,yes,16260,48260,15500,,,entered as written,entered as written,"direct link, clarity level 1",female,36,"married, spouse present",1983,white,white,not hispanic,not hispanic,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",office machine operators,data entry keyers,data entry keyers,52,50-52 weeks,yes,25000,48260,25000,,,entered as written,entered as written,1,1,3
2019,2019 acs,4600,2019000151907,80,married-couple family household,2019000046001,east south central div,alabama,alabama,30,250.7,in metropolitan area: central/principal city status indeterminable (mixed),260001,united states,households under 1970 definition,n/a,n/a,135000,all other same-sex married couple households,1,81,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,32,"married, spouse present",1987,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,master's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",musicians and music teachers,"teachers , n.e.c",other teachers and instructors,52,50-52 weeks,40,yes,52000,122000,52000,,,entered as written,entered as written,"direct link, clarity level 1",male,37,"married, spouse present",1982,black/african american,black/african american,not hispanic,not hispanic,"no, not in school",5+ years of college,master's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",therapists and healers (nec),occupational therapists,occupational therapists,52,50-52 weeks,yes,70000,122000,70000,,,entered as written,entered as written,1,5,5
2019,2019 acs,7536,2019000351757,327,married-couple family household,2019000075361,east south central div,alabama,alabama,1170,549.3,in metropolitan area: central/principal city status indeterminable (mixed),120001,united states,households under 1970 definition,n/a,n/a,141000,all other same-sex married couple households,1,327,0,0,2,"direct link, clarity level 1",0,1 child present,no children under age 5,female,28,"married, spouse present",1991,white,white,not hispanic,not hispanic,"yes, in school",1 year of college,"1 or more years of college credit, no degree",public school,not in labor force,not in labor force,"no, not in the labor force",works for wages,state govt employee,policemen and detectives,"police, detectives, and private investigators",police officers and detectives,0,n/a,n/a,"no, but worked 1-5 years ago (acs only)",0,26000,0,,,entered as written,entered as written,"direct link, clarity level 1",female,34,"married, spouse present",1985,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",medical and dental-technicians,"health technologists and technicians, n.e.c",emergency medical technicians and paramedics,52,50-52 weeks,yes,26000,26000,26000,,,entered as written,entered as written,1,3,3
2019,2019 acs,9310,2019000477458,91,married-couple family household,2019000093101,east south central div,alabama,alabama,0,82.90000000000001,metropolitan status indeterminable (mixed),180001,united states,households under 1970 definition,800,953,n/a,all other same-sex married couple households,1,90,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,25,"married, spouse present",1994,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",sports instructors and officials,"athletes, sports instructors, and officials","athletes, coaches, umpires, and related workers",52,50-52 weeks,45,yes,50000,71600,50000,,,entered as written,entered as written,"direct link, clarity level 1",female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,master's degree,not enrolled,unemployed,unemployed,"yes, in the labor force",works for wages,"wage/salary, private",personnel and labor relations workers,"personnel, hr, training, and labor relations specialists","human resources, training, and labor relations specialists",30,27-39 weeks,yes,21600,71600,21600,,,entered as written,entered as written,1,4,5
2019,2019 acs,9697,2019000505560,24,married-couple family household,2019000096971,east south central div,alabama,alabama,0,200.1,metropolitan status indeterminable (mixed),250001,united states,households under 1970 definition,n/a,n/a,15000,all other same-sex married couple households,1,25,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,29,"married, spouse present",1990,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",supervisors and proprietors of sales jobs,first-line supervisors of sales workers,52,50-52 weeks,38,yes,25000,25000,25000,,,entered as written,entered as written,"direct link, clarity level 1",female,36,"married, spouse present",1983,white,white,not hispanic,not hispanic,"no, not in school",grade 11,grade 11,not enrolled,not in labor force,not in labor force,"no, not in the labor force",self-employed,"self-employed, incorporated","cooks, except private household",misc food prep workers,food preparation workers,0,n/a,"no, but worked 1-5 years ago (acs only)",0,25000,0,,,entered as written,entered as written,1,3,1
2019,2019 acs,10650,2019000571493,50,married-couple family household,2019000106501,east south central div,alabama,alabama,0,224.6,in metropolitan area: central/principal city status indeterminable (mixed),20001,united states,households under 1970 definition,n/a,n/a,120000,all other same-sex married couple households,1,50,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,39,"married, spouse present",1980,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",supervisors and proprietors of sales jobs,first-line supervisors of sales workers,52,50-52 weeks,55,yes,39000,69000,39000,,,entered as written,entered as written,"direct link, clarity level 1",female,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",grade 12,"12th grade, no diploma",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","gardeners, except farm and groundskeepers",gardeners and groundskeepers,grounds maintenance workers,52,50-52 weeks,yes,30000,69000,30000,,,entered as written,entered as written,1,2,1
2019,2019 acs,11295,2019000617478,42,"female householder, no husband present",2019000112951,east south central div,alabama,alabama,730,613.6,in metropolitan area: central/principal city status indeterminable (mixed),130401,united states,households under 1970 definition,n/a,n/a,750000,households without a same-sex married couple,2,58,1,0,3,"fourth level link, clarity level 1",0,3,1 child under age 5,female,40,"married, spouse present",1979,black/african american,black/african american,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,wage/salary at non-profit,clerical and kindred workers (n.e.c.),file clerks,file clerks,0,n/a,n/a,"no, but worked 1-5 years ago (acs only)",0,25500,0,,,entered as written,entered as written,"fourth level link, clarity level 1",female,25,"married, spouse present",1994,black/african american,black/african american,not hispanic,not hispanic,"yes, in school",2 years of college,"associate's degree, type not specified","private school (1960,1990-2000,acs,prcs)",not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private",cashiers,cashiers,cashiers,0,n/a,"no, but worked 1-5 years ago (acs only)",0,25500,0,,,entered as written,entered as written,1,3,3
2019,2019 acs,13291,2019000753718,15,married-couple family household,2019000132911,east south central div,alabama,alabama,0,224.6,in metropolitan area: central/principal city status indeterminable (mixed),20001,united states,households under 1970 definition,700,1179,n/a,all other same-sex married couple households,1,15,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,24,"married, spouse present",1995,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",salesmen and sales clerks (nec),retail sales clerks,retail salespersons,52,50-52 weeks,33,yes,28000,46000,26000,,,entered as written,entered as written,"direct link, clarity level 1",male,22,"married, spouse present",1997,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",waiters and waitresses,waiter/waitress,waiters and waitresses,9,1-13 weeks,yes,18000,46000,18000,,,entered as written,entered as written,1,3,2
